ID,type_1,Num_1,type_2,Num_2,type_3,Num_34,
1,1,50000,0,0,0,0,
2,4,100,0,0,0,0,
3,-20078,10,0,0,0,0,
4,-22046,2,0,0,0,0,
5,-20016,10,0,0,0,0,
6,-20019,3,0,0,0,0,
7,3,1237,0,0,0,0,
8,-22065,1,0,0,0,0,
9,-20013,100,0,0,0,0,
10,-20078,10,0,0,0,0,
11,-20016,15,0,0,0,0,
12,-22053,5,0,0,0,0,
13,-20015,10,0,0,0,0,
14,-20014,10,0,0,0,0,
15,-20078,10,0,0,0,0,
16,4,300,0,0,0,0,
17,-20017,50,0,0,0,0,
18,-22047,2,0,0,0,0,
19,1,100000,0,0,0,0,
20,-20016,20,0,0,0,0,
21,-20100,10,0,0,0,0,
22,-22001,20,0,0,0,0,
23,-20016,25,0,0,0,0,
24,-20078,10,0,0,0,0,
25,-20015,15,0,0,0,0,
26,-22066,2,0,0,0,0,
27,-20019,5,0,0,0,0,
28,4,500,0,0,0,0,
29,-20078,10,0,0,0,0,
30,1,120000,0,0,0,0,
31,-20013,100,0,0,0,0,
